metro_fips,metro_name,county_fips,county_name,population,rank
31080,"Los Angeles-Long Beach-Anaheim, CA",06037,"Los Angeles County, California",10081570,1
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17031,"Cook County, Illinois",5198275,2
26420,"Houston-The Woodlands-Sugar Land, TX",48201,"Harris County, Texas",4646630,3
38060,"Phoenix-Mesa-Scottsdale, AZ",04013,"Maricopa County, Arizona",4328810,4
41740,"San Diego-Carlsbad, CA",06073,"San Diego County, California",3316073,5
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",12086,"Miami-Dade County, Florida",2699428,6
19100,"Dallas-Fort Worth-Arlington, TX",48113,"Dallas County, Texas",2606868,7
35620,"New York-Newark-Jersey City, NY-NJ-PA",36047,"Kings County, New York",2589974,8
40140,"Riverside-San Bernardino-Ontario, CA",06065,"Riverside County, California",2411439,9
42660,"Seattle-Tacoma-Bellevue, WA",53033,"King County, Washington",2195502,10
29820,"Las Vegas-Henderson-Paradise, NV",32003,"Clark County, Nevada",2182004,11
41700,"San Antonio-New Braunfels, TX",48029,"Bexar County, Texas",1952843,12
41940,"San Jose-Sunnyvale-Santa Clara, CA",06085,"Santa Clara County, California",1927470,13
19820,"Detroit-Warren-Dearborn, MI",26163,"Wayne County, Michigan",1757299,14
41860,"San Francisco-Oakland-Hayward, CA",06001,"Alameda County, California",1656754,15
14460,"Boston-Cambridge-Newton, MA-NH",25017,"Middlesex County, Massachusetts",1600842,16
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42101,"Philadelphia County, Pennsylvania",1579075,17
40900,"Sacramento--Roseville--Arden-Arcade, CA",06067,"Sacramento County, California",1524553,18
45300,"Tampa-St. Petersburg-Clearwater, FL",12057,"Hillsborough County, Florida",1422278,19
36740,"Orlando-Kissimmee-Sanford, FL",12095,"Orange County, Florida",1349746,20
18140,"Columbus, OH",39049,"Franklin County, Ohio",1290360,21
17460,"Cleveland-Elyria, OH",39035,"Cuyahoga County, Ohio",1247451,22
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27053,"Hennepin County, Minnesota",1245837,23
12420,"Austin-Round Rock, TX",48453,"Travis County, Texas",1226805,24
38300,"Pittsburgh, PA",42003,"Allegheny County, Pennsylvania",1221744,25
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51059,"Fairfax County, Virginia",1145862,26
41620,"Salt Lake City, UT",49035,"Salt Lake County, Utah",1133646,27
16740,"Charlotte-Concord-Gastonia, NC-SC",37119,"Mecklenburg County, North Carolina",1074475,28
39580,"Raleigh, NC",37183,"Wake County, North Carolina",1069079,29
12060,"Atlanta-Sandy Springs-Roswell, GA",13121,"Fulton County, Georgia",1036200,30
46060,"Tucson, AZ",04019,"Pima County, Arizona",1027207,31
41180,"St. Louis, MO-IL",29189,"St. Louis County, Missouri",996919,32
46520,"Urban Honolulu, HI",15003,"Honolulu County, Hawaii",984821,33
23420,"Fresno, CA",06019,"Fresno County, California",984521,34
26900,"Indianapolis-Carmel-Anderson, IN",18097,"Marion County, Indiana",951869,35
33340,"Milwaukee-Waukesha-West Allis, WI",55079,"Milwaukee County, Wisconsin",951226,36
14860,"Bridgeport-Stamford-Norwalk, CT",09001,"Fairfield County, Connecticut",943926,37
32820,"Memphis, TN-MS-AR",47157,"Shelby County, Tennessee",936374,38
27260,"Jacksonville, FL",12031,"Duval County, Florida",936186,39
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36029,"Erie County, New York",919355,40
25540,"Hartford-West Hartford-East Hartford, CT",09003,"Hartford County, Connecticut",893561,41
12540,"Bakersfield, CA",06029,"Kern County, California",887641,42
35300,"New Haven-Milford, CT",09009,"New Haven County, Connecticut",857513,43
32580,"McAllen-Edinburg-Mission, TX",48215,"Hidalgo County, Texas",855176,44
37100,"Oxnard-Thousand Oaks-Ventura, CA",06111,"Ventura County, California",847263,45
21340,"El Paso, TX",48141,"El Paso County, Texas",836062,46
12580,"Baltimore-Columbia-Towson, MD",24005,"Baltimore County, Maryland",828018,47
49340,"Worcester, MA-CT",25027,"Worcester County, Massachusetts",824772,48
17140,"Cincinnati, OH-KY-IN",39061,"Hamilton County, Ohio",813589,49
38900,"Portland-Vancouver-Hillsboro, OR-WA",41051,"Multnomah County, Oregon",804606,50
36420,"Oklahoma City, OK",40109,"Oklahoma County, Oklahoma",787216,51
31140,"Louisville/Jefferson County, KY-IN",21111,"Jefferson County, Kentucky",767419,52
40380,"Rochester, NY",36055,"Monroe County, New York",743341,53
44700,"Stockton-Lodi, CA",06077,"San Joaquin County, California",742603,54
15980,"Cape Coral-Fort Myers, FL",12071,"Lee County, Florida",737468,55
19740,"Denver-Aurora-Lakewood, CO",08031,"Denver County, Colorado",705576,56
17820,"Colorado Springs, CO",08041,"El Paso County, Colorado",698974,57
28140,"Kansas City, MO-KS",29095,"Jackson County, Missouri",696216,58
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",47037,"Davidson County, Tennessee",687488,59
29460,"Lakeland-Winter Haven, FL",12105,"Polk County, Florida",686218,60
10740,"Albuquerque, NM",35001,"Bernalillo County, New Mexico",677858,61
13820,"Birmingham-Hoover, AL",01073,"Jefferson County, Alabama",659680,62
24340,"Grand Rapids-Wyoming, MI",26081,"Kent County, Michigan",648121,63
46140,"Tulsa, OK",40143,"Tulsa County, Oklahoma",646419,64
39300,"Providence-Warwick, RI-MA",44007,"Providence County, Rhode Island",635737,65
39340,"Provo-Orem, UT",49049,"Utah County, Utah",605490,66
37340,"Palm Bay-Melbourne-Titusville, FL",12009,"Brevard County, Florida",585507,67
36540,"Omaha-Council Bluffs, NE-IA",31055,"Douglas County, Nebraska",560617,68
33700,"Modesto, CA",06099,"Stanislaus County, California",543194,69
10420,"Akron, OH",39153,"Summit County, Ohio",541334,70
29540,"Lancaster, PA",42071,"Lancaster County, Pennsylvania",540999,71
19660,"Deltona-Daytona Beach-Ormond Beach, FL",12127,"Volusia County, Florida",536487,72
31540,"Madison, WI",55025,"Dane County, Wisconsin",536078,73
19380,"Dayton, OH",39113,"Montgomery County, Ohio",531670,74
24660,"Greensboro-High Point, NC",37081,"Guilford County, North Carolina",527868,75
48620,"Wichita, KS",20173,"Sedgwick County, Kansas",513375,76
24860,"Greenville-Anderson-Mauldin, SC",45045,"Greenville County, South Carolina",507003,77
44060,"Spokane-Spokane Valley, WA",53063,"Spokane County, Washington",505505,78
42220,"Santa Rosa, CA",06097,"Sonoma County, California",499772,79
19780,"Des Moines-West Des Moines, IA",19153,"Polk County, Iowa",479612,80
44140,"Springfield, MA",25013,"Hampden County, Massachusetts",467871,81
45060,"Syracuse, NY",36067,"Onondaga County, New York",462872,82
47300,"Visalia-Porterville, CA",06107,"Tulare County, California",461898,83
28940,"Knoxville, TN",47093,"Knox County, Tennessee",461104,84
39900,"Reno, NV",32031,"Washoe County, Nevada",456936,85
14260,"Boise City, ID",16001,"Ada County, Idaho",456849,86
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",51810,"Virginia Beach city, Virginia",450201,87
49620,"York-Hanover, PA",42133,"York County, Pennsylvania",445565,88
42200,"Santa Maria-Santa Barbara, CA",06083,"Santa Barbara County, California",444829,89
12940,"Baton Rouge, LA",22033,"East Baton Rouge Parish, Louisiana",443763,90
46700,"Vallejo-Fairfield, CA",06095,"Solano County, California",441829,91
35380,"New Orleans-Metairie, LA",22051,"Jefferson Parish, Louisiana",434850,92
41500,"Salinas, CA",06053,"Monterey County, California",433410,93
45780,"Toledo, OH",39095,"Lucas County, Ohio",431102,94
15180,"Brownsville-Harlingen, TX",48061,"Cameron County, Texas",421666,95
35840,"North Port-Sarasota-Bradenton, FL",12115,"Sarasota County, Florida",419496,96
39740,"Reading, PA",42011,"Berks County, Pennsylvania",418025,97
33660,"Mobile, AL",01097,"Mobile County, Alabama",414114,98
31700,"Manchester-Nashua, NH",33011,"Hillsborough County, New Hampshire",413035,99
17900,"Columbia, SC",45079,"Richland County, South Carolina",411357,100
22420,"Flint, MI",26049,"Genesee County, Michigan",407875,101
16700,"Charleston-North Charleston, SC",45019,"Charleston County, South Carolina",401165,102
30780,"Little Rock-North Little Rock-Conway, AR",05119,"Pulaski County, Arkansas",392967,103
49180,"Winston-Salem, NC",37067,"Forsyth County, North Carolina",375195,104
21660,"Eugene, OR",41039,"Lane County, Oregon",373340,105
23060,"Fort Wayne, IN",18003,"Allen County, Indiana",372575,106
15940,"Canton-Massillon, OH",39151,"Stark County, Ohio",372404,107
34940,"Naples-Immokalee-Marco Island, FL",12021,"Collier County, Florida",371453,108
45940,"Trenton, NJ",34021,"Mercer County, New Jersey",367922,109
11460,"Ann Arbor, MI",26161,"Washtenaw County, Michigan",367000,110
10900,"Allentown-Bethlehem-Easton, PA-NJ",42077,"Lehigh County, Pennsylvania",365052,111
26620,"Huntsville, AL",01089,"Madison County, Alabama",362276,112
18580,"Corpus Christi, TX",48355,"Nueces County, Texas",361540,113
16860,"Chattanooga, TN-GA",47065,"Hamilton County, Tennessee",360919,114
36100,"Ocala, FL",12083,"Marion County, Florida",353526,115
28660,"Killeen-Temple, TX",48027,"Bell County, Texas",348574,116
36260,"Ogden-Clearfield, UT",49011,"Davis County, Utah",345767,117
22660,"Fort Collins, CO",08069,"Larimer County, Colorado",344786,118
40060,"Richmond, VA",51041,"Chesterfield County, Virginia",343551,119
41420,"Salem, OR",41047,"Marion County, Oregon",339641,120
