metro_fips,metro_name,county_fips,county_name,population,rank
41980,"San Juan-Carolina-Caguas, PR",72127,"San Juan Municipio, Puerto Rico",335468,121
22180,"Fayetteville, NC",37051,"Cumberland County, North Carolina",332861,122
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",45051,"Horry County, South Carolina",332172,123
14500,"Boulder, CO",08013,"Boulder County, Colorado",322510,124
30460,"Lexington-Fayette, KY",21067,"Fayette County, Kentucky",320601,125
42540,"Scranton--Wilkes-Barre--Hazleton, PA",42079,"Luzerne County, Pennsylvania",317663,126
37860,"Pensacola-Ferry Pass-Brent, FL",12033,"Escambia County, Florida",313491,127
30700,"Lincoln, NE",31109,"Lancaster County, Nebraska",313158,128
38940,"Port St. Lucie, FL",12111,"St. Lucie County, Florida",312947,129
20500,"Durham-Chapel Hill, NC",37063,"Durham County, North Carolina",311848,130
43900,"Spartanburg, SC",45083,"Spartanburg County, South Carolina",307617,131
10580,"Albany-Schenectady-Troy, NY",36001,"Albany County, New York",306968,132
24540,"Greeley, CO",08123,"Weld County, Colorado",305345,133
31180,"Lubbock, TX",48303,"Lubbock County, Texas",304808,134
11260,"Anchorage, AK",02020,"Anchorage Municipality, Alaska",293531,135
38860,"Portland-South Portland, ME",23005,"Cumberland County, Maine",292307,136
29620,"Lansing-East Lansing, MI",26065,"Ingham County, Michigan",290587,137
45220,"Tallahassee, FL",12073,"Leon County, Florida",289770,138
44180,"Springfield, MO",29077,"Greene County, Missouri",289756,139
42340,"Savannah, GA",13051,"Chatham County, Georgia",288496,140
40420,"Rockford, IL",17201,"Winnebago County, Illinois",284819,141
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",06079,"San Luis Obispo County, California",282165,142
36500,"Olympia-Tumwater, WA",53067,"Thurston County, Washington",279711,143
25420,"Harrisburg-Carlisle, PA",42043,"Dauphin County, Pennsylvania",275632,144
42100,"Santa Cruz-Watsonville, CA",06087,"Santa Cruz County, California",273962,145
21500,"Erie, PA",42049,"Erie County, Pennsylvania",273835,146
29700,"Laredo, TX",48479,"Webb County, Texas",273526,147
32900,"Merced, CA",06047,"Merced County, California",271382,148
43780,"South Bend-Mishawaka, IN-MI",18141,"St. Joseph County, Indiana",270216,149
35980,"Norwich-New London, CT",09011,"New London County, Connecticut",267390,150
12100,"Atlantic City-Hammonton, NJ",34001,"Atlantic County, New Jersey",266105,151
14740,"Bremerton-Silverdale, WA",53035,"Kitsap County, Washington",265882,152
22220,"Fayetteville-Springdale-Rogers, AR-MO",05007,"Benton County, Arkansas",265759,153
23540,"Gainesville, FL",12001,"Alachua County, Florida",265443,154
28020,"Kalamazoo-Portage, MI",26077,"Kalamazoo County, Michigan",262745,155
24580,"Green Bay, WI",55009,"Brown County, Wisconsin",261368,156
11700,"Asheville, NC",37021,"Buncombe County, North Carolina",256886,157
13140,"Beaumont-Port Arthur, TX",48245,"Jefferson County, Texas",254340,158
47380,"Waco, TX",48309,"McLennan County, Texas",251089,159
49420,"Yakima, WA",53077,"Yakima County, Washington",249697,160
43340,"Shreveport-Bossier City, LA",22017,"Caddo Parish, Louisiana",245831,161
29180,"Lafayette, LA",22055,"Lafayette Parish, Louisiana",241973,162
27140,"Jackson, MS",28049,"Hinds County, Mississippi",238797,163
49660,"Youngstown-Warren-Boardman, OH-PA",39099,"Mahoning County, Ohio",229961,164
46540,"Utica-Rome, NY",36065,"Oneida County, New York",229959,165
39140,"Prescott, AZ",04025,"Yavapai County, Arizona",228067,166
48900,"Wilmington, NC",37129,"New Hanover County, North Carolina",227938,167
46340,"Tyler, TX",48423,"Smith County, Texas",227449,168
33860,"Montgomery, AL",01101,"Montgomery County, Alabama",226941,169
17020,"Chico, CA",06007,"Butte County, California",225817,170
41540,"Salisbury, MD-DE",10005,"Sussex County, Delaware",224384,171
16300,"Cedar Rapids, IA",19113,"Linn County, Iowa",223861,172
17780,"College Station-Bryan, TX",48041,"Brazos County, Texas",222981,173
13380,"Bellingham, WA",53073,"Whatcom County, Washington",220821,174
32780,"Medford, OR",41029,"Jackson County, Oregon",216574,175
29740,"Las Cruces, NM",35013,"Doña Ana County, New Mexico",216069,176
12700,"Barnstable Town, MA",25001,"Barnstable County, Massachusetts",213496,177
19300,"Daphne-Fairhope-Foley, AL",01003,"Baldwin County, Alabama",212830,178
16580,"Champaign-Urbana, IL",17019,"Champaign County, Illinois",209922,179
49740,"Yuma, AZ",04027,"Yuma County, Arizona",209468,180
29420,"Lake Havasu City-Kingman, AZ",04015,"Mohave County, Arizona",207695,181
46220,"Tuscaloosa, AL",01125,"Tuscaloosa County, Alabama",207305,182
21140,"Elkhart-Goshen, IN",18039,"Elkhart County, Indiana",204558,183
25060,"Gulfport-Biloxi-Pascagoula, MS",28047,"Harrison County, Mississippi",204502,184
18880,"Crestview-Fort Walton Beach-Destin, FL",12091,"Okaloosa County, Florida",203794,185
12260,"Augusta-Richmond County, GA-SC",13245,"Richmond County, Georgia",201852,186
29340,"Lake Charles, LA",22019,"Calcasieu Parish, Louisiana",201619,187
17300,"Clarksville, TN-KY",47125,"Montgomery County, Tennessee",200180,188
20260,"Duluth, MN-WI",27137,"St. Louis County, Minnesota",199759,189
25900,"Hilo, HI",15001,"Hawaii County, Hawaii",199459,190
23580,"Gainesville, GA",13139,"Hall County, Georgia",198667,191
28420,"Kennewick-Richland, WA",53005,"Benton County, Washington",197518,192
44100,"Springfield, IL",17167,"Sangamon County, Illinois",196861,193
17980,"Columbus, GA-AL",13215,"Muscogee County, Georgia",195739,194
39540,"Racine, WI",55101,"Racine County, Wisconsin",195602,195
27340,"Jacksonville, NC",37133,"Onslow County, North Carolina",195069,196
13780,"Binghamton, NY",36007,"Broome County, New York",193188,197
40980,"Saginaw, MI",26145,"Saginaw County, Michigan",191821,198
29200,"Lafayette-West Lafayette, IN",18157,"Tippecanoe County, Indiana",191553,199
43620,"Sioux Falls, SD",46099,"Minnehaha County, South Dakota",188674,200
13460,"Bend-Redmond, OR",41017,"Deschutes County, Oregon",186251,201
25940,"Hilton Head Island-Bluffton-Beaufort, SC",45013,"Beaufort County, South Carolina",186095,202
11540,"Appleton, WI",55087,"Outagamie County, Wisconsin",185700,203
16620,"Charleston, WV",54039,"Kanawha County, West Virginia",183279,204
37900,"Peoria, IL",17143,"Peoria County, Illinois",182770,205
37460,"Panama City, FL",12005,"Bay County, Florida",182161,206
45860,"Torrington, CT",09005,"Litchfield County, Connecticut",182002,207
21780,"Evansville, IN-KY",18163,"Vanderburgh County, Indiana",181291,208
39460,"Punta Gorda, FL",12015,"Charlotte County, Florida",181067,209
20940,"El Centro, CA",06025,"Imperial County, California",180701,210
39820,"Redding, CA",06089,"Shasta County, California",179212,211
28740,"Kingston, NY",36111,"Ulster County, New York",178665,212
24780,"Greenville, NC",37147,"Pitt County, North Carolina",178433,213
45820,"Topeka, KS",20177,"Shawnee County, Kansas",177852,214
17860,"Columbia, MO",29019,"Boone County, Missouri",177651,215
22020,"Fargo, ND-MN",38017,"Cass County, North Dakota",176975,216
20100,"Dover, DE",10001,"Kent County, Delaware",176699,217
34740,"Muskegon, MI",26121,"Muskegon County, Michigan",173297,218
14010,"Bloomington, IL",17113,"McLean County, Illinois",172578,219
19340,"Davenport-Moline-Rock Island, IA-IL",19163,"Scott County, Iowa",172446,220
36780,"Oshkosh-Neenah, WI",55139,"Winnebago County, Wisconsin",170411,221
33260,"Midland, TX",48329,"Midland County, Texas",168167,222
20700,"East Stroudsburg, PA",42089,"Monroe County, Pennsylvania",168032,223
39380,"Pueblo, CO",08101,"Pueblo County, Colorado",165982,224
27980,"Kahului-Wailuku-Lahaina, HI",15009,"Maui County, Hawaii",165979,225
41100,"St. George, UT",49053,"Washington County, Utah",165811,226
15500,"Burlington, NC",37001,"Alamance County, North Carolina",163324,227
15540,"Burlington-South Burlington, VT",50007,"Chittenden County, Vermont",162646,228
27500,"Janesville-Beloit, WI",55105,"Rock County, Wisconsin",162152,229
44300,"State College, PA",42027,"Centre County, Pennsylvania",161960,230
12220,"Auburn-Opelika, AL",01081,"Lee County, Alabama",161152,231
36220,"Odessa, TX",48135,"Ector County, Texas",160579,232
13740,"Billings, MT",30111,"Yellowstone County, Montana",159008,233
27100,"Jackson, MI",26075,"Jackson County, Michigan",158636,234
41060,"St. Cloud, MN",27145,"Stearns County, Minnesota",158452,235
25860,"Hickory-Lenoir-Morganton, NC",37035,"Catawba County, North Carolina",157613,236
17660,"Coeur d'Alene, ID",16055,"Kootenai County, Idaho",157322,237
28700,"Kingsport-Bristol-Bristol, TN-VA",47163,"Sullivan County, Tennessee",157050,238
33740,"Monroe, LA",22073,"Ouachita Parish, Louisiana",155494,239
31460,"Madera, CA",06039,"Madera County, California",155433,240
40340,"Rochester, MN",27109,"Olmsted County, Minnesota",154809,241
16540,"Chambersburg-Waynesboro, PA",42055,"Franklin County, Pennsylvania",154147,242
35660,"Niles-Benton Harbor, MI",26021,"Berrien County, Michigan",154133,243
42680,"Sebastian-Vero Beach, FL",12061,"Indian River County, Florida",153989,244
47580,"Warner Robins, GA",13153,"Houston County, Georgia",153507,245
31420,"Macon-Bibb County, GA",13021,"Bibb County, Georgia",153200,246
47220,"Vineland-Bridgeton, NJ",34011,"Cumberland County, New Jersey",151906,247
12620,"Bangor, ME",23019,"Penobscot County, Maine",151774,248
24300,"Grand Junction, CO",08077,"Mesa County, Colorado",151218,249
25260,"Hanford-Corcoran, CA",06031,"Kings County, California",150691,250
25180,"Hagerstown-Martinsburg, MD-WV",24043,"Washington County, Maryland",150109,251
18180,"Concord, NH",33013,"Merrimack County, New Hampshire",149917,252
33780,"Monroe, MI",26115,"Monroe County, Michigan",149727,253
42140,"Santa Fe, NM",35049,"Santa Fe County, New Mexico",149293,254
26980,"Iowa City, IA",19103,"Johnson County, Iowa",148577,255
14020,"Bloomington, IN",18105,"Monroe County, Indiana",146461,256
26140,"Homosassa Springs, FL",12017,"Citrus County, Florida",145169,257
39060,"Pottsville, PA",42107,"Schuylkill County, Pennsylvania",142674,258
22380,"Flagstaff, AZ",04005,"Coconino County, Arizona",141274,259
30140,"Lebanon, PA",42075,"Lebanon County, Pennsylvania",139729,260
38660,"Ponce, PR",72113,"Ponce Municipio, Puerto Rico",139671,261
34900,"Napa, CA",06055,"Napa County, California",139623,262
22500,"Florence, SC",45041,"Florence County, South Carolina",138475,263
10180,"Abilene, TX",48441,"Taylor County, Texas",136870,264
21700,"Eureka-Arcata-Fortuna, CA",06023,"Humboldt County, California",135940,265
48140,"Wausau, WI",55073,"Marathon County, Wisconsin",135396,266
44220,"Springfield, OH",39023,"Clark County, Ohio",134726,267
12980,"Battle Creek, MI",26025,"Calhoun County, Michigan",134212,268
11100,"Amarillo, TX",48381,"Randall County, Texas",134026,269
27780,"Johnstown, PA",42021,"Cambria County, Pennsylvania",133009,270
31300,"Lumberton, NC",37155,"Robeson County, North Carolina",132596,271
47940,"Waterloo-Cedar Falls, IA",19013,"Black Hawk County, Iowa",132393,272
20380,"Dunn, NC",37085,"Harnett County, North Carolina",132283,273
25220,"Hammond, LA",22105,"Tangipahoa Parish, Louisiana",132057,274
48660,"Wichita Falls, TX",48485,"Wichita County, Texas",131596,275
43300,"Sherman-Denison, TX",48181,"Grayson County, Texas",131014,276
10780,"Alexandria, LA",22079,"Rapides Parish, Louisiana",130970,277
14540,"Bowling Green, KY",21227,"Warren County, Kentucky",128652,278
27460,"Jamestown-Dunkirk-Fredonia, NY",36013,"Chautauqua County, New York",128496,279
27740,"Johnson City, TN",47179,"Washington County, Tennessee",127805,280
22900,"Fort Smith, AR-OK",05131,"Sebastian County, Arkansas",127591,281
22140,"Farmington, NM",35045,"San Juan County, New Mexico",126515,282
38340,"Pittsfield, MA",25003,"Berkshire County, Massachusetts",126425,283
12020,"Athens-Clarke County, GA",13059,"Clarke County, Georgia",126176,284
43420,"Sierra Vista-Douglas, AZ",04003,"Cochise County, Arizona",125867,285
34580,"Mount Vernon-Anacortes, WA",53057,"Skagit County, Washington",125612,286
10540,"Albany, OR",41043,"Linn County, Oregon",125048,287
45540,"The Villages, FL",12119,"Sumter County, Florida",125044,288
30860,"Logan, UT-ID",49005,"Cache County, Utah",124165,289
24140,"Goldsboro, NC",37191,"Wayne County, North Carolina",123603,290
30980,"Longview, TX",48183,"Gregg County, Texas",123443,291
11020,"Altoona, PA",42013,"Blair County, Pennsylvania",123157,292
30020,"Lawton, OK",40031,"Comanche County, Oklahoma",121762,293
12300,"Augusta-Waterville, ME",23011,"Kennebec County, Maine",121753,294
31900,"Mansfield, OH",39139,"Richland County, Ohio",121100,295
29940,"Lawrence, KS",20045,"Douglas County, Kansas",120290,296
27900,"Joplin, MO",29097,"Jasper County, Missouri",119920,297
19460,"Decatur, AL",01103,"Morgan County, Alabama",119213,298
41660,"San Angelo, TX",48451,"Tom Green County, Texas",117986,299
29100,"La Crosse-Onalaska, WI-MN",55063,"La Crosse County, Wisconsin",117894,300
33540,"Missoula, MT",30063,"Missoula County, Montana",117309,301
26090,"Holland, MI",26005,"Allegan County, Michigan",116143,302
49300,"Wooster, OH",39169,"Wayne County, Ohio",116099,303
46660,"Valdosta, GA",13185,"Lowndes County, Georgia",115364,304
43100,"Sheboygan, WI",55117,"Sheboygan County, Wisconsin",115178,305
34620,"Muncie, IN",18035,"Delaware County, Indiana",115020,306
11500,"Anniston-Oxford-Jacksonville, AL",01015,"Calhoun County, Alabama",114618,307
26820,"Idaho Falls, ID",16019,"Bonneville County, Idaho",114392,308
48700,"Williamsport, PA",42081,"Lycoming County, Pennsylvania",114330,309
48060,"Watertown-Fort Drum, NY",36045,"Jefferson County, New York",112842,310
15680,"California-Lexington Park, MD",24037,"St. Mary's County, Maryland",112290,311
26380,"Houma-Thibodaux, LA",22109,"Terrebonne Parish, Louisiana",112054,312
39660,"Rapid City, SD",46103,"Pennington County, South Dakota",110685,313
28100,"Kankakee, IL",17091,"Kankakee County, Illinois",110637,314
33140,"Michigan City-La Porte, IN",18091,"LaPorte County, Indiana",110154,315
36860,"Ottawa-Peru, IL",17099,"LaSalle County, Illinois",109737,316
43320,"Show Low, AZ",04017,"Navajo County, Arizona",109270,317
40700,"Roseburg, OR",41019,"Douglas County, Oregon",109114,318
36300,"Ogdensburg-Massena, NY",36089,"St. Lawrence County, New York",108913,319
21060,"Elizabethtown-Fort Knox, KY",21093,"Hardin County, Kentucky",108527,320
14580,"Bozeman, MT",30031,"Gallatin County, Montana",108063,321
30340,"Lewiston-Auburn, ME",23001,"Androscoggin County, Maine",107602,322
45460,"Terre Haute, IN",18167,"Vigo County, Indiana",107459,323
16820,"Charlottesville, VA",51003,"Albemarle County, Virginia",107405,324
27860,"Jonesboro, AR",05031,"Craighead County, Arkansas",107345,325
31020,"Longview, WA",53015,"Cowlitz County, Washington",106778,326
44940,"Sumter, SC",45085,"Sumter County, South Carolina",106757,327
17420,"Cleveland, TN",47011,"Bradley County, Tennessee",105749,328
19500,"Decatur, IL",17115,"Macon County, Illinois",105528,329
34060,"Morgantown, WV",54061,"Monongalia County, West Virginia",105474,330
20020,"Dothan, AL",01069,"Houston County, Alabama",104702,331
19140,"Dalton, GA",13313,"Whitfield County, Georgia",104237,332
13020,"Bay City, MI",26017,"Bay County, Michigan",104104,333
20740,"Eau Claire, WI",55035,"Eau Claire County, Wisconsin",103514,334
42700,"Sebring, FL",12055,"Highlands County, Florida",103437,335
41400,"Salem, OH",39029,"Columbiana County, Ohio",103190,336
30620,"Lima, OH",39003,"Allen County, Ohio",103175,337
48580,"Whitewater-Elkhorn, WI",55127,"Walworth County, Wisconsin",103074,338
23460,"Gadsden, AL",01055,"Etowah County, Alabama",102748,339
27060,"Ithaca, NY",36109,"Tompkins County, New York",102642,340
22540,"Fond du Lac, WI",55039,"Fond du Lac County, Wisconsin",102597,341
43580,"Sioux City, IA-NE-SD",19193,"Woodbury County, Iowa",102586,342
35100,"New Bern, NC",37049,"Craven County, North Carolina",102491,343
23900,"Gettysburg, PA",42001,"Adams County, Pennsylvania",102470,344
36980,"Owensboro, KY",21059,"Daviess County, Kentucky",100474,345
28060,"Kalispell, MT",30029,"Flathead County, Montana",99899,346
46020,"Truckee-Grass Valley, CA",06057,"Nevada County, California",99244,347
40220,"Roanoke, VA",51770,"Roanoke city, Virginia",99229,348
21820,"Fairbanks, AK",02090,"Fairbanks North Star Borough, Alaska",99072,349
26300,"Hot Springs, AR",05051,"Garland County, Arkansas",98555,350
10300,"Adrian, MI",26091,"Lenawee County, Michigan",98381,351
16940,"Cheyenne, WY",56021,"Laramie County, Wyoming",98320,352
13980,"Blacksburg-Christiansburg-Radford, VA",51121,"Montgomery County, Virginia",98140,353
11780,"Ashtabula, OH",39007,"Ashtabula County, Ohio",97830,354
27180,"Jackson, TN",47113,"Madison County, Tennessee",97625,355
40660,"Rome, GA",13115,"Floyd County, Georgia",97369,356
38240,"Pinehurst-Southern Pines, NC",37125,"Moore County, North Carolina",97294,357
43140,"Shelby, NC",37045,"Cleveland County, North Carolina",97282,358
42940,"Sevierville, TN",47155,"Sevier County, Tennessee",97068,359
20220,"Dubuque, IA",19061,"Dubuque County, Iowa",96982,360
11180,"Ames, IA",19169,"Story County, Iowa",96941,361
18500,"Corning, NY",36101,"Steuben County, New York",96422,362
49700,"Yuba City, CA",06101,"Sutter County, California",96109,363
10700,"Albertville, AL",01095,"Marshall County, Alabama",95643,364
34180,"Moses Lake, WA",53025,"Grant County, Washington",95502,365
13900,"Bismarck, ND",38015,"Burleigh County, North Dakota",94793,366
26580,"Huntington-Ashland, WV-KY-OH",54011,"Cabell County, West Virginia",94339,367
40580,"Rocky Mount, NC",37127,"Nash County, North Carolina",94030,368
45500,"Texarkana, TX-AR",48037,"Bowie County, Texas",93373,369
36140,"Ocean City, NJ",34009,"Cape May County, New Jersey",93086,370
22520,"Florence-Muscle Shoals, AL",01077,"Lauderdale County, Alabama",92556,371
35420,"New Philadelphia-Dover, OH",39157,"Tuscarawas County, Ohio",92335,372
45900,"Traverse City, MI",26055,"Grand Traverse County, Michigan",92181,373
47020,"Victoria, TX",48469,"Victoria County, Texas",92109,374
44980,"Sunbury, PA",42097,"Northumberland County, Pennsylvania",91761,375
18700,"Corvallis, OR",41003,"Benton County, Oregon",91107,376
40080,"Richmond-Berea, KY",21151,"Madison County, Kentucky",90802,377
17200,"Claremont-Lebanon, NH-VT",33009,"Grafton County, New Hampshire",89777,378
