metro_fips,metro_name,county_fips,county_name,county_population,metro_population,rank
43500,"Silver City, NM",35003,"Catron County, New Mexico",3547,43183,758
43500,"Silver City, NM",35017,"Grant County, New Mexico",28382,43183,758
43500,"Silver City, NM",35051,"Sierra County, New Mexico",11254,43183,758
13660,"Big Rapids, MI",26107,"Mecosta County, Michigan",43181,43181,759
47780,"Washington, IN",18027,"Daviess County, Indiana",32777,42996,760
47780,"Washington, IN",18101,"Martin County, Indiana",10219,42996,760
31500,"Madison, IN",18077,"Jefferson County, Indiana",32293,42910,761
31500,"Madison, IN",18155,"Switzerland County, Indiana",10617,42910,761
29980,"Lawrenceburg, TN",47099,"Lawrence County, Tennessee",42591,42591,762
12140,"Auburn, IN",18033,"DeKalb County, Indiana",42524,42524,763
17700,"Coffeyville, KS",20205,"Wilson County, Kansas",8858,42321,764
17700,"Coffeyville, KS",20125,"Montgomery County, Kansas",33463,42321,764
15340,"Bucyrus, OH",39033,"Crawford County, Ohio",42231,42231,765
14620,"Bradford, PA",42083,"McKean County, Pennsylvania",42070,42070,766
48940,"Wilmington, OH",39027,"Clinton County, Ohio",41869,41869,767
19000,"Cullowhee, NC",37099,"Jackson County, North Carolina",41725,41725,768
49380,"Worthington, MN",27105,"Nobles County, Minnesota",21854,41685,769
49380,"Worthington, MN",27033,"Cottonwood County, Minnesota",11437,41685,769
49380,"Worthington, MN",27101,"Murray County, Minnesota",8394,41685,769
