month,entropy,hhi,gini,bp,diss,density,infomap,city
1,1.0159607588355335,0.4219397674402349,0.578060232559765,0.5403690784406425,0.337,0.03548477993092399,92.91666666666667,"San Jose-Sunnyvale-Santa Clara, CA"
2,1.0071246848146405,0.4241053257624542,0.5758946742375458,0.539967416847371,0.359,0.03205754723816732,79.64285714285714,"San Jose-Sunnyvale-Santa Clara, CA"
3,1.0129639962188417,0.42071236953275815,0.5792876304672419,0.5337078264380402,0.351,0.02136364734202285,74.33333333333333,"San Jose-Sunnyvale-Santa Clara, CA"
4,0.9903651945246361,0.4364875057784491,0.5635124942215509,0.5544614219281063,0.356,0.010557036011303346,35.96774193548387,"San Jose-Sunnyvale-Santa Clara, CA"
5,0.9545459185209166,0.46028954951360657,0.5397104504863934,0.5787344340023467,0.348,0.013137322781396173,46.458333333333336,"San Jose-Sunnyvale-Santa Clara, CA"
6,0.9688647490379302,0.4509548156183077,0.5490451843816923,0.5620123557665713,0.362,0.015866549661463156,48.47826086956522,"San Jose-Sunnyvale-Santa Clara, CA"
7,1.0064153636132036,0.43078301828395665,0.5692169817160434,0.5468303728089768,0.362,0.016405149302396727,46.458333333333336,"San Jose-Sunnyvale-Santa Clara, CA"
8,1.0269089575192594,0.4131763441715436,0.5868236558284564,0.5246854670521,0.355,0.01675938523963256,69.6875,"San Jose-Sunnyvale-Santa Clara, CA"
9,0.980081509367471,0.44480099890729835,0.5551990010927016,0.5656078331546305,0.355,0.016481632061572646,55.75,"San Jose-Sunnyvale-Santa Clara, CA"
10,0.980081509367471,0.44480099890729835,0.5551990010927016,0.5656078331546305,0.355,0.016481632061572646,55.75,"San Jose-Sunnyvale-Santa Clara, CA"
11,1.0279551210433693,0.41550134193060795,0.584498658069392,0.5289479557348948,0.349,0.018360692692273632,65.58823529411765,"San Jose-Sunnyvale-Santa Clara, CA"
12,1.018594077643536,0.4212988010818194,0.5787011989181806,0.5349259929417588,0.353,0.016637012824951093,58.68421052631579,"San Jose-Sunnyvale-Santa Clara, CA"
