GEOID,X,Y
421010283001,-75.14082259771224,40.0299230729941
421010284001,-75.1380180419532,40.0293964943874
421010038002,-75.18410306604059,39.91768289033148
421010218002,-75.2333245832216,40.05300806766449
421010030015,-75.17304791795357,39.930456834600285
421010337022,-75.06135255001777,40.070469119656316
421010372002,-75.1626611906733,39.91340493941358
421010282001,-75.14393228386838,40.032637979880406
421010369002,-75.19747313680709,39.94647991953886
421010012025,-75.17290655646454,39.94726118767209
421010025002,-75.14675230725604,39.933445738842245
421010118003,-75.23320263329232,39.98223768694091
421010122011,-75.21131359646422,40.003975065973954
421010122031,-75.20934039139662,40.00748726195913
421010376002,-75.15832588642424,39.960194772543716
421010363012,-74.96467358914555,40.09535189676046
421010158003,-75.1269764608727,39.972285283513656
421010390001,-75.0956736373594,40.03632727406176
421010165002,-75.15128526948608,39.99051075098488
421010379003,-75.08873597541246,39.9937361133836
421010183003,-75.07857985222878,39.99973890719685
421010363034,-74.96485120098224,40.10009352905152
421010378002,-75.09151460425855,39.98060966487872
421010378001,-75.11789860848776,39.97189744888824
421010143001,-75.12590667332127,39.967515802447856
421010373003,-75.18458901994055,39.90204973350696
421010372001,-75.16903914551025,39.91399612133265
421010010012,-75.15191918793627,39.94375582332894
421010283004,-75.14350770036123,40.023233132767196
421010004021,-75.17223832537101,39.95417859581332
421010012021,-75.16897544067515,39.94677455480156
421019809001,-75.21402093613275,39.901565649337265
421010030011,-75.1698791023241,39.930045479515286
421019802001,-75.04902506979776,40.069815871267814
421010042013,-75.14895951233696,39.92042463279252
421010086012,-75.21390151149033,39.953648182842045
421010086011,-75.21907335501797,39.95381320942741
421010316006,-75.05434370212716,40.032862469034754
421010373001,-75.17448039457254,39.91043884864565
421010372004,-75.15433580140964,39.91213623176648
421010355002,-75.0307522310864,40.08533400217736
421010355003,-75.03016188247747,40.09240649876606
421010356011,-75.03897689553786,40.09319107590656
421010356022,-75.04387369064177,40.10707080738345
421010357022,-75.03523680997824,40.11712013780505
421010357021,-75.0380016866452,40.11204505236862
421010357012,-75.02669486071527,40.11273894485045
421010358001,-75.02200455356645,40.12023296100419
421010358002,-75.02767555081108,40.12466396505637
421019806001,-75.17071478668595,39.90553818126993
421010195021,-75.13276564278891,40.00392076026556
421010195022,-75.12626347267661,40.00315473515271
421010056001,-75.24473463717516,39.89883279562512
421010358003,-75.03020679730837,40.11921824301426
421010359001,-75.01631498355957,40.11674797129626
421010361002,-74.9965625834105,40.103729525287115
421010362012,-74.98439204854174,40.08538597778339
421010362021,-74.98010810101957,40.09051993538073
421010362022,-74.97814761422326,40.084025148601775
421010362023,-74.98079776662799,40.07733857416726
421010362031,-74.97196946637473,40.08250489973563
421010362032,-74.96877197197811,40.07885105824499
421010363011,-74.96562702068766,40.08880987801103
421010363022,-74.98200114591128,40.09892767727758
421010363031,-74.97079826841254,40.10758451657673
421010363033,-74.9717107626517,40.098703998279696
